# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
18SrRNA-Psi:CR41602	FBgn0085813	FBtr0346892	pseudogene	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2
18SrRNA-Psi:CR45861	FBgn0267521	FBtr0346900	pseudogene	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
28SrRNA-Psi:CR40741	FBgn0085771	FBtr0346896	pseudogene	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
28SrRNA-Psi:CR45853	FBgn0267513	FBtr0346888	pseudogene	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28SrRNA-Psi:CR45855	FBgn0267515	FBtr0346891	pseudogene	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
28SrRNA-Psi:CR45859	FBgn0267519	FBtr0346895	pseudogene	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
28SrRNA-Psi:CR45860	FBgn0267520	FBtr0346903	pseudogene	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
28SrRNA-Psi:CR45862	FBgn0267522	FBtr0346902	pseudogene	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	5
2SrRNA-Psi:CR40677	FBgn0085765	FBtr0346890	pseudogene	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2SrRNA-Psi:CR45858	FBgn0267518	FBtr0346894	pseudogene	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2SrRNA:CR45864	FBgn0267524	FBtr0346898	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5.8SrRNA-Psi:CR45854	FBgn0267514	FBtr0346889	pseudogene	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
5.8SrRNA-Psi:CR45857	FBgn0267517	FBtr0346893	pseudogene	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5.8SrRNA-Psi:CR45863	FBgn0267523	FBtr0346897	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR40454	FBgn0250731	FBtr0346901	rRNA	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AMPKalpha	FBgn0023169	FBtr0070216	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPKalpha	FBgn0023169	FBtr0070217	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPKalpha	FBgn0023169	FBtr0070218	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPdeam	FBgn0052626	FBtr0073833	protein_coding	0	1	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	7
AMPdeam	FBgn0052626	FBtr0301044	protein_coding	0	1	0	31	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	1	15
AMPdeam	FBgn0052626	FBtr0301045	protein_coding	1	2	0	15	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	1	2	0	0	0	1	9
AMPdeam	FBgn0052626	FBtr0301046	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AMPdeam	FBgn0052626	FBtr0303292	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AMPdeam	FBgn0052626	FBtr0309245	protein_coding	0	0	0	32	1	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	0	15
AMPdeam	FBgn0052626	FBtr0309246	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AMPdeam	FBgn0052626	FBtr0340444	protein_coding	1	2	1	13	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	1	2	0	0	0	1	9
AMPdeam	FBgn0052626	FBtr0340445	protein_coding	0	1	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11
AP-1-2beta	FBgn0010380	FBtr0074789	protein_coding	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP-1gamma	FBgn0030089	FBtr0071294	protein_coding	0	12	0	34	0	0	0	0	0	0	0	1	0	0	29	0	0	0	0	0	3	0	0	0	9	7
AP-1gamma	FBgn0030089	FBtr0071295	protein_coding	0	13	0	32	0	1	3	0	0	0	0	1	0	0	12	0	0	0	0	0	3	0	0	0	9	19
AP-1gamma	FBgn0030089	FBtr0071296	protein_coding	0	12	0	34	0	0	0	0	0	0	0	1	0	0	29	0	0	0	0	0	3	0	0	0	9	7
AP-1gamma	FBgn0030089	FBtr0071297	protein_coding	0	13	0	32	0	1	3	0	0	0	0	1	0	0	12	0	0	0	0	0	3	0	0	0	9	19
AP-1gamma	FBgn0030089	FBtr0071298	protein_coding	0	13	0	32	0	1	3	0	0	0	0	1	0	0	12	0	0	0	0	0	3	0	0	0	9	19
AP-1gamma	FBgn0030089	FBtr0112965	protein_coding	0	13	0	32	0	1	3	0	0	0	0	1	0	0	12	0	0	0	0	0	3	0	0	0	9	19
